time,density_n_site_1,positive_p_n_site_1,density_n_site_2,positive_p_n_site_2
4.080000000000000293e-01,5.602914523160307247e-01,5.567383893491761881e-01,1.046874271633180947e-01,1.008729702640082382e-01
4.100000000000000311e-01,5.582033538084549829e-01,5.543946939701822618e-01,1.054468969922111032e-01,1.016449253781187279e-01
4.120000000000000329e-01,5.561177479178466276e-01,5.522821153064897404e-01,1.062065288068870655e-01,1.024445245581682984e-01
4.140000000000000346e-01,5.540346557375905867e-01,5.503382767028606182e-01,1.069662962101031872e-01,1.033338302834160699e-01
4.160000000000000364e-01,5.519540982471815571e-01,5.482351074569081772e-01,1.077261729290945047e-01,1.040128020797653485e-01
4.179999999999999827e-01,5.498760963121408496e-01,5.462318917245123640e-01,1.084861328156348920e-01,1.047157946361755715e-01
4.199999999999999845e-01,5.478006706839328999e-01,5.441689145685758566e-01,1.092461498460978175e-01,1.055259353260637606e-01
4.219999999999999862e-01,5.457278419998820018e-01,5.422096285019323281e-01,1.100061981215171014e-01,1.062764194109337285e-01
4.239999999999999880e-01,5.436576307830894850e-01,5.400693677057816222e-01,1.107662518676478386e-01,1.069848946804237422e-01
4.259999999999999898e-01,5.415900574423502256e-01,5.379762369415107548e-01,1.115262854350273641e-01,1.077153409493881858e-01
4.279999999999999916e-01,5.395251422720691581e-01,5.360728985879585906e-01,1.122862732990358020e-01,1.085358662530133966e-01
4.299999999999999933e-01,5.374629054521785632e-01,5.338678249784034602e-01,1.130461900599572800e-01,1.093767085993133936e-01
4.319999999999999951e-01,5.354033670480543572e-01,5.317118754678156201e-01,1.138060104430404090e-01,1.102103928562509494e-01
4.339999999999999969e-01,5.333465470104330475e-01,5.298045531255718421e-01,1.145657092985593734e-01,1.110721509123549500e-01
4.359999999999999987e-01,5.312924651753289096e-01,5.278819733171350448e-01,1.153252616018747567e-01,1.119181213504475969e-01
4.380000000000000004e-01,5.292411412639498325e-01,5.257703584508043315e-01,1.160846424534942439e-01,1.125796663893110089e-01
4.400000000000000022e-01,5.271925948826148289e-01,5.236890263367204312e-01,1.168438270791335998e-01,1.133389119536122730e-01
4.420000000000000040e-01,5.251468455226706578e-01,5.218000727146575590e-01,1.176027908297774677e-01,1.141503011490389435e-01
4.440000000000000058e-01,5.231039125604084461e-01,5.197810330108644239e-01,1.183615091817402099e-01,1.149357343283733401e-01
4.460000000000000075e-01,5.210638152569804227e-01,5.177938431580682010e-01,1.191199577367267337e-01,1.157623045937451328e-01
4.480000000000000093e-01,5.190265727583168731e-01,5.157133036840271245e-01,1.198781122218933737e-01,1.164966317287600001e-01
4.500000000000000111e-01,5.169922040950428732e-01,5.138799632120553129e-01,1.206359484899087731e-01,1.174076511648311921e-01
4.520000000000000129e-01,5.149607281823949112e-01,5.120397206934833578e-01,1.213934425190146132e-01,1.180891406634213270e-01
4.540000000000000147e-01,5.129321638201377320e-01,5.101394543147392824e-01,1.221505704130865649e-01,1.189485217327026639e-01
