time,density_n_site_1,positive_p_n_site_1,density_n_site_2,positive_p_n_site_2
1.743999999999999995e+00,5.192129443179070887e-03,nan,1.696275908373135188e-01,nan
1.745999999999999996e+00,5.300885069431938469e-03,nan,1.691695451749884449e-01,nan
1.747999999999999998e+00,5.410493697699102211e-03,nan,1.687113443928368872e-01,nan
1.750000000000000000e+00,5.520946950056520967e-03,nan,1.682529954744531597e-01,nan
1.752000000000000002e+00,5.632236470616537594e-03,nan,1.677945053841838896e-01,nan
1.754000000000000004e+00,5.744353925591313449e-03,nan,1.673358810670591001e-01,nan
1.756000000000000005e+00,5.857291003355478802e-03,nan,1.668771294487242096e-01,nan
1.758000000000000007e+00,5.971039416724895944e-03,nan,1.664182574331017073e-01,nan
1.760000000000000009e+00,6.085590917397902533e-03,nan,1.659592718875956552e-01,nan
1.762000000000000011e+00,6.200937266962312615e-03,nan,1.655001796727843810e-01,nan
1.764000000000000012e+00,6.317070245739951975e-03,nan,1.650409876333579218e-01,nan
1.766000000000000014e+00,6.433981656651269893e-03,nan,1.645817025941550826e-01,nan
1.768000000000000016e+00,6.551663325276976466e-03,nan,1.641223313600964906e-01,nan
1.770000000000000018e+00,6.670107099918921867e-03,nan,1.636628807161182586e-01,nan
1.772000000000000020e+00,6.789304851660255685e-03,nan,1.632033574271063436e-01,nan
1.774000000000000021e+00,6.909248474424836868e-03,nan,1.627437682378319594e-01,nan
1.776000000000000023e+00,7.029929885035907274e-03,nan,1.622841198728871837e-01,nan
1.778000000000000025e+00,7.151341023274022761e-03,nan,1.618244190366217028e-01,nan
1.780000000000000027e+00,7.273473851934261769e-03,nan,1.613646724130804178e-01,nan
1.782000000000000028e+00,7.396320356882677555e-03,nan,1.609048866659415211e-01,nan
1.784000000000000030e+00,7.519872547112012307e-03,nan,1.604450684384552961e-01,nan
1.786000000000000032e+00,7.644122454796700022e-03,nan,1.599852243533841090e-01,nan
1.788000000000000034e+00,7.769062135347086159e-03,nan,1.595253610129425403e-01,nan
1.790000000000000036e+00,7.894683667462945587e-03,nan,1.590654849987385711e-01,nan
1.792000000000000037e+00,8.020979153186247670e-03,nan,1.586056028717157396e-01,nan
1.794000000000000039e+00,8.147940717953192774e-03,nan,1.581457211720956602e-01,nan
1.796000000000000041e+00,8.275560510645485479e-03,nan,1.576858464193214848e-01,nan
1.798000000000000043e+00,8.403830703640905245e-03,nan,1.572259851120021423e-01,nan
1.800000000000000044e+00,8.532743492863103379e-03,nan,1.567661437278571324e-01,nan
1.802000000000000046e+00,8.662291097830697451e-03,nan,1.563063287236625132e-01,nan
1.804000000000000048e+00,8.792465761705583333e-03,nan,1.558465465351968060e-01,nan
1.806000000000000050e+00,8.923259751340558571e-03,nan,1.553868035771887868e-01,nan
1.808000000000000052e+00,9.054665357326165120e-03,nan,1.549271062432650559e-01,nan
1.810000000000000053e+00,9.186674894036822581e-03,nan,1.544674609058987735e-01,nan
1.812000000000000055e+00,9.319280699676199889e-03,nan,1.540078739163592003e-01,nan
1.814000000000000057e+00,9.452475136321875776e-03,nan,1.535483516046618480e-01,nan
1.816000000000000059e+00,9.586250589969227270e-03,nan,1.530889002795193243e-01,nan
1.818000000000000060e+00,9.720599470574612169e-03,nan,1.526295262282931775e-01,nan
1.820000000000000062e+00,9.855514212097795171e-03,nan,1.521702357169462394e-01,nan
1.822000000000000064e+00,9.990987272543631545e-03,nan,1.517110349899959132e-01,nan
1.824000000000000066e+00,1.012701113400303610e-02,nan,1.512519302704679602e-01,nan
1.826000000000000068e+00,1.026357830269318192e-02,nan,1.507929277598513695e-01,nan
1.828000000000000069e+00,1.040068130899698441e-02,nan,1.503340336380536990e-01,nan
